name,latitude,longitude
Kota Tangerang Selatan,-6.2888889,106.71805559999999
Kab. Banyuwangi,-8.218611099999999,114.36694440000001
Kab. Madiun,-7.627753,111.50548300000001
Kab. Ponorogo,-7.867827,111.466003
Kab. Magetan,-7.6493413,111.33815929999999
Kab. Pacitan,-8.204614,111.08769
Kab. Ngawi,-7.3899300000000006,111.46193000000001
Kab. Bangkalan,-7.0306912,112.7450068
Kab. Kediri,-7.809356,112.03235600000001
Kab. Bondowoso,-7.917704,113.813483
Kab. Blitar,-8.101441900000001,112.16276200000001
Kab. Trenggalek,-8.05,111.71666670000002
Kab. Tulungagung,-8.0666667,111.9
Kab. Nganjuk,-7.602932000000001,111.901808
Kab. Situbondo,-7.702534,113.955605
Kab. Malang,-8.0495643,112.68845490000001
Kab. Jember,-8.172357,113.70030200000001
Kab. Sumenep,-6.925399900000001,113.90606240000001
Kab. Pasuruan,-6.8623098,108.8001936
Kab. Pamekasan,-7.1666667,113.46666670000002
Kab. Probolinggo,-7.753964999999999,113.210675
Kab. Lumajang,-8.137022,113.226601
Kab. Bojonegoro,0.8826809999999999,124.46695659999999
Kab. Tuban,-8.7493146,115.17112979999999
Kab. Lamongan,-7.406153,109.3946794
Kab. Sidoarjo,-7.453027799999999,112.7173389
Kab. Sampang,-7.578255599999999,109.2058436
Kab. Mojokerto,-7.488075,112.427027
Kab. Gresik,-7.15665,112.6555
Kab. Jombang,-7.546839500000001,112.2264794
Kota Mojokerto,-7.472222200000001,112.43361110000001
Kota Surabaya,-7.289166000000001,112.734398
Kota Madiun,-7.629714,111.513702
Kota Blitar,-8.1,112.15
Kota Malang,-7.9818940000000005,112.626503
Kota Batu,-7.8671,112.5239
Kota Pasuruan,-7.644872,112.903297
Kota Kediri,-7.816895,112.011398
Kota Probolinggo,-7.756928,113.211502
Kab. Batanghari,-1.7083921999999998,103.0817903
Kab. Bungo,-1.6401337999999999,101.8891721
Kab. Kerinci,-1.8720467,101.4339148
Kab. Merangin,-2.1752789,101.9804613
Kab. Muaro Jambi,-1.5966719999999999,103.615799
Kab. Sarolangun,-2.2654937000000004,102.69053259999998
Kab. Tanjung Jabung Barat,-1.2332121999999999,103.79844279999999
Kab. Tanjung Jabung Timur,-1.3291598999999998,103.89973
Kab. Tebo,-1.2592999,102.3463875
Kota Jambi,-1.5966719999999999,103.615799
Kota Sungai Penuh,-2.06314,101.387199
Kab. Simeulue,2.583333,96.083333
Kab. Aceh Singkil,2.3589458999999997,97.87216
Kab. Aceh Selatan,3.3115056000000003,97.3516558
Kab. Aceh Tenggara,3.3088665999999995,97.6982272
Kab. Aceh Timur,5.255443,95.9885456
Kab. Aceh Tengah,4.448264099999999,96.8350999
Kab. Aceh Barat,4.4542745,96.1526985
Kab. Aceh Besar,5.4529168,95.4777811
Kab. Pidie,5.0742659,95.94097099999999
Kab. Bireuen,5.18254,96.89005
Kab. Aceh Utara,4.9786331,97.2221421
Kab. Aceh Barat Daya,3.0512642999999997,97.3368031
Kab. Gayo Lues,3.955165,97.3516558
Kab. Aceh Tamiang,4.2328871,98.0028892
Kab. Nagan Raya,4.124840600000001,96.4929797
Kab. Aceh Jaya,4.7873684,95.64579509999999
Kab. Bener Meriah,4.7748348,97.0068393
Kab. Pidie Jaya,5.1548063,96.195132
Kota Banda Aceh,5.55,95.3166667
Kota Sabang,5.894692900000001,95.3192982
Kota Langsa,4.48,97.9633333
Kota Lhokseumawe,5.188055599999999,97.14027779999999
Kota Subulussalam,2.6449927000000004,98.0165205
Kab. Nias,-8.1712591,113.7111274
Kab. Mandailing Natal,0.7432371999999999,99.3673084
Kab. Tapanuli Selatan,1.5774933,99.2785583
Kab. Tapanuli Tengah,1.8493298999999999,98.704075
Kab. Tapanuli Utara,2.0405246,99.10134980000001
Kab. Toba Samosir,2.3502397999999998,99.2785583
Kab. Labuhanbatu,2.3439862999999996,100.17032569999999
Kab. Asahan,2.8174722,99.634135
Kab. Simalungun,2.9781612,99.2785583
Kab. Dairi,2.8675801,98.265058
Kab. Karo,3.1052909,98.265058
Kab. Deli Serdang,3.4201802000000003,98.704075
Kab. Langkat,3.8653915999999997,98.3088441
Kab. Nias Selatan,0.7086091,97.8286368
Kab. Humbang Hasundutan,2.1988507999999998,98.5721016
Kab. Pakpak Bharat,2.545786,98.299838
Kab. Samosir,2.5833333,98.8166667
Kab. Serdang Bedagai,3.3371693999999996,99.0571089
Kab. Batu Bara,3.1740979,99.5006143
Kab. Padang Lawas Utara,1.5758644,99.634135
Kab. Padang Lawas,1.1186976999999998,99.8124935
Kota Sibolga,1.7403745,98.7827988
Kota Tanjung Balai,2.965122,99.800331
Kota Pematang Siantar,2.96,99.06
Kota Tebing Tinggi,3.3856205000000004,99.2009815
Kota Medan,3.585242,98.6755979
Kota Binjai,3.594462,98.48224599999999
Kota Padangsidimpuan,1.3804239999999999,99.273972
Kab. Kepulauan Mentawai,-1.426001,98.9245343
Kab. Pesisir Selatan,-1.7223147,100.8903099
Kab. Solok,-0.803027,100.644402
Kab. Sijunjung,-0.6881586,100.997658
Kab. Tanah Datar,-0.4797043,100.57462240000001
Kab. Padang Pariaman,-0.5546757,100.2151578
Kab. Agam,-0.22093920000000003,100.17032569999999
Kab. Lima Puluh Kota,3.168216,99.4187929
Kab. Pasaman,0.1288752,99.79017809999999
Kab. Solok Selatan,-1.4157329,101.25237920000001
Kab. Dharmas Raya,-1.1120568000000002,101.61577729999999
Kab. Pasaman Barat,0.2213005,99.634135
Kota Padang,-0.95,100.3530556
Kota Solok,-0.803027,100.644402
Kota Sawah Lunto,-0.6810286,100.7763604
Kota Padang Panjang,-0.470679,100.4059456
Kota Bukittinggi,-0.3055556,100.36916670000001
Kota Payakumbuh,-0.22887,100.632301
Kota Pariaman,-0.6264389,100.11795740000001
Kab. Kuantan Singingi,-0.44115959999999993,101.5248055
Kab. Indragiri Hulu,-0.7361181,102.25479190000001
Kab. Indragiri Hilir,-0.1456733,102.989615
Kab. Pelalawan,0.44141499999999995,102.088699
Kab. S I A K,-0.789275,113.921327
Kab. Kampar,0.146671,101.16173559999999
Kab. Rokan Hulu,1.0410934,100.439656
Kab. Bengkalis,1.4897221999999999,102.0797222
Kab. Rokan Hilir,1.6463978,100.80000509999999
Kota Pekanbaru,0.5333333,101.45
Kota Dumai,1.6657419999999998,101.447601
Kab. Kerinci,-1.6969999999999998,101.264
Kab. Batang Hari,-1.7083921999999998,103.0817903
Kab. Ogan Komering Ulu,-4.0283486,104.0072348
Kab. Ogan Komering Ilir,-3.4559743999999997,105.2194808
Kab. Muara Enim,-3.6515809999999997,103.770798
Kab. Lahat,-3.7863888999999995,103.5427778
Kab. Musi Rawas,-2.8625305,102.989615
Kab. Musi Banyuasin,-2.5442028999999997,103.7289167
Kab. Banyu Asin,-2.6095639,104.7520939
Kab. Ogan Komering Ulu Selatan,-4.668195099999999,104.0072348
Kab. Ogan Komering Ulu Timur,-3.8567934,104.7520939
Kab. Ogan Ilir,-3.4265440000000003,104.61214749999999
Kab. Empat Lawang,-3.7286029000000003,102.8975098
Kota Palembang,-2.9911083,104.7567333
Kota Prabumulih,-3.440956,104.23539699999999
Kota Pagar Alam,-4.037669999999999,103.265297
Kota Lubuklinggau,-3.2966667000000003,102.8616667
Kab. Bengkulu Selatan,-4.324840900000001,103.03569399999999
Kab. Rejang Lebong,-3.4548154,102.6675575
Kab. Bengkulu Utara,-3.4219555,102.1632718
Kab. Kaur,-4.6792278,103.4511768
Kab. Seluma,-4.062292899999999,102.5642261
Kab. Mukomuko,-2.5760002999999996,101.11698050000001
Kab. Lebong,-2.9926169999999996,104.382202
Kab. Kepahiang,-3.6514309999999996,102.578201
Kota Bengkulu,-3.7955556000000006,102.25916670000001
Kab. Lampung Barat,-5.149039599999999,104.19309179999999
Kab. Tanggamus,-5.3027489,104.5655273
Kab. Lampung Selatan,-5.562261400000001,105.54743729999998
Kab. Lampung Timur,-5.1134995000000005,105.68817879999999
Kab. Lampung Tengah,-4.8008086,105.3131185
Kab. Lampung Utara,-4.8133905,104.7520939
Kab. Way Kanan,-4.4963689,104.5655273
Kab. Tulangbawang,-4.3176575999999995,105.5005483
Kab. Pesawaran,-5.493245,105.0791228
Kota Bandar Lampung,-5.45,105.26666670000002
Kota Metro,-5.116666700000001,105.3
Kab. Bangka,-2.2884782,106.0640179
Kab. Belitung,-2.8708937999999997,107.95318359999999
Kab. Bangka Barat,-2.2884782,106.0640179
Kab. Bangka Tengah,-2.2884782,106.0640179
Kab. Bangka Selatan,-2.2884782,106.0640179
Kab. Belitung Timur,-2.8708937999999997,107.95318359999999
Kota Pangkal Pinang,-2.129323,106.109596
Kab. Karimun,1.05,103.3666667
Kab. Bintan,1.0619173000000002,104.51892140000001
Kab. Natuna,3.9329945,108.1812242
Kab. Lingga,-0.1627686,104.6354631
Kota Batam,1.0456264000000002,104.03045350000001
Kota Tanjung Pinang,0.9179205,104.446464
Kab. Kepulauan Seribu,-5.7985266,106.5071982
Kota Jakarta Selatan,-6.332973,106.807915
Kota Jakarta Timur,-6.211544,106.84517199999999
Kota Jakarta Pusat,-6.211544,106.84517199999999
Kota Jakarta Barat,-6.211544,106.84517199999999
Kota Jakarta Utara,-6.211544,106.84517199999999
Kab. Bogor,-6.6,106.8
Kab. Sukabumi,-6.92405,106.922203
Kab. Cianjur,-6.8172531,107.13072890000001
Kab. Bandung,-6.9147444,107.6098111
Kab. Garut,-7.227906,107.908699
Kab. Tasikmalaya,-7.327953999999999,108.214104
Kab. Ciamis,-7.3333333,108.35
Kab. Kuningan,-6.9833333,108.48333329999998
Kab. Cirebon,-6.715534,108.564003
Kab. Majalengka,-6.8531026,108.22588970000001
Kab. Sumedang,0.6095949,110.0330554
Kab. Indramayu,-6.336315,108.32510400000001
Kab. Subang,-6.569361,107.752403
Kab. Purwakarta,-6.538680599999999,107.4499404
Kab. Karawang,-6.3227303,107.3375791
Kab. Bekasi,-6.2333333,107.0
Kab. Bandung Barat,-6.8937121,107.4321959
Kota Bogor,-6.6,106.8
Kota Sukabumi,-6.92405,106.922203
Kota Bandung,-6.9147444,107.6098111
Kota Cirebon,-6.715534,108.564003
Kota Bekasi,-6.2333333,107.0
Kota Depok,-6.39,106.83
Kota Cimahi,-6.8802389999999995,107.5355
Kota Tasikmalaya,-7.327953999999999,108.214104
Kota Banjar,-7.366666700000001,108.53333329999998
Kab. Cilacap,-7.733333,109.0
Kab. Banyumas,-7.4832133,109.14043799999999
Kab. Purbalingga,-7.390747,109.3638
Kab. Banjarnegara,-7.402705999999999,109.68139599999999
Kab. Kebumen,-7.678682000000001,109.656502
Kab. Purworejo,-7.709731,110.008003
Kab. Wonosobo,-7.362108999999999,109.899399
Kab. Magelang,-7.481253,110.213799
Kab. Boyolali,-7.5238190000000005,110.595901
Kab. Klaten,-7.7116869999999995,110.595497
Kab. Sukoharjo,-7.6808818,110.81952920000002
Kab. Wonogiri,-7.817782000000001,110.920601
Kab. Karanganyar,-7.596111099999999,110.95083329999999
Kab. Sragen,-7.430229,111.021301
Kab. Grobogan,-7.0217194,110.96258540000001
Kab. Blora,-6.95,111.41666670000001
Kab. Rembang,-6.711239999999999,111.345299
Kab. Pati,-6.7513380000000005,111.038002
Kab. Kudus,-6.804086999999999,110.83820300000001
Kab. Jepara,-6.559605900000001,110.6717
Kab. Demak,-6.888114999999999,110.639297
Kab. Semarang,-6.9666667,110.41666670000001
Kab. Temanggung,-7.316669,110.174797
Kab. Kendal,-6.9196860000000004,110.205597
Kab. Batang,-6.894111099999999,109.72345190000001
Kab. Pekalongan,-6.882886999999999,109.66999799999999
Kab. Pemalang,-6.884233999999999,109.377998
Kab. Tegal,-6.866666700000001,109.13333329999999
Kab. Brebes,-6.883333299999999,109.05
Kota Magelang,-7.481253,110.213799
Kota Surakarta,-7.5666667,110.81666670000001
Kota Salatiga,-7.302328,110.4729
Kota Semarang,-6.9666667,110.41666670000001
Kota Pekalongan,-6.882886999999999,109.66999799999999
Kota Tegal,-6.866666700000001,109.13333329999999
Kab. Kulon Progo,-7.8266798,110.1640846
Kab. Bantul,-7.884611099999999,110.3341111
Kab. Gunung Kidul,-8.0305091,110.61689209999999
Kota Yogyakarta,-7.797224000000001,110.368797
Kab. Pandeglang,-6.3148349999999995,106.103897
Kab. Lebak,-6.564395599999999,106.25221429999999
Kab. Tangerang,-6.1783056,106.63188889999999
Kab. Serang,-6.12009,106.150299
Kota Tangerang,-6.1783056,106.63188889999999
Kota Cilegon,-6.0169825,106.04050600000001
Kota Serang,-6.12009,106.150299
Kab. Jembrana,-8.361852,114.6418
Kab. Tabanan,-8.544516,115.11979699999999
Kab. Badung,-8.5819296,115.1770586
Kab. Gianyar,-8.544185,115.3255
Kab. Klungkung,-8.5389222,115.40451110000001
Kab. Bangli,-8.454303,115.354897
Kab. Karang Asem,-6.3996057,108.05030420000001
Kab. Buleleng,-8.113831,115.126999
Kota Denpasar,-8.65629,115.222099
Kab. Lombok Barat,-8.6464599,116.1123078
Kab. Lombok Tengah,-8.694623,116.27770729999999
Kab. Lombok Timur,-8.513447099999999,116.5609857
Kab. Sumbawa,-8.6529334,117.3616476
Kab. Dompu,-8.496631800000001,118.4747173
Kab. Bima,-8.460566,118.727402
Kab. Sumbawa Barat,-8.9292907,116.89103419999999
Kota Mataram,-8.583333300000001,116.11666670000001
Kota Bima,-8.460566,118.727402
Kab. Sumba Barat,-9.6548326,119.3947135
Kab. Sumba Timur,-9.9802103,120.3435506
